filename,width,height,class,xmin,ymin,xmax,ymax
000106393cfe2343888c584e65fd2274,3520,2514,F16,1,1,1796,1451
00032844ab679240fc03ecd27d29a6aa,1136,852,F18,38,8,1136,654
0003f56298fa8999168d7988a2e9549d,4046,2697,F22,213,505,3550,1623
0003f56298fa8999168d7988a2e9549d,4046,2697,F22,460,563,4046,1817
000aa01b25574f28b654718db0700f72,2048,1365,F35,852,177,1998,503
000aa01b25574f28b654718db0700f72,2048,1365,JAS39,169,769,549,893
000aa01b25574f28b654718db0700f72,2048,1365,JAS39,125,908,440,1009
000aa01b25574f28b654718db0700f72,2048,1365,B52,277,901,1288,1177
000e7662268a1071827c5a8663e773f9,1200,856,US2,522,240,1200,497
000ec980b5b17156a55093b4bd6004ab,1000,551,Be200,308,126,651,201
0036c2784a5b8b2a4a1a4bd9109eb2f7,2048,1328,EF2000,726,594,1335,981
0039eb1ff33d29c55f943e05730bb259,900,600,C2,122,192,721,400
0041e69431bf872309d1aff628b6494f,1279,725,E2,217,281,1198,616
0048b6531d2792ef6f5b7235b357a348,960,1200,Rafale,340,303,399,323
0049943dd024c06611a90feb5acebbbd,1688,1125,Mig31,937,490,1065,524
0049943dd024c06611a90feb5acebbbd,1688,1125,F35,799,834,910,860
0051a45cc908d93660f686df975c2bbc,1582,1149,F35,751,528,817,553
0052d815facb55cf9f6f639a1647a0a5,900,600,B52,35,29,900,365
0052ebf62f5f24c027a08b99ab00c9b9,1200,900,F18,822,575,933,617
0052ebf62f5f24c027a08b99ab00c9b9,1200,900,F18,356,354,763,575
0055583f8723e234fb5ce74f3df59cf1,1280,754,Su25,154,193,1112,548
005a2bac1b0045cd972c75110c0f378b,960,720,XB70,1,285,960,679
005e486c03142ce64736bba86b347b96,1200,800,Be200,424,335,572,389
0067df5849d8cfb479303936b3798aa5,1000,712,F15,878,512,954,577
0067df5849d8cfb479303936b3798aa5,1000,712,F15,868,362,945,428
0067df5849d8cfb479303936b3798aa5,1000,712,F15,595,349,672,416
0067df5849d8cfb479303936b3798aa5,1000,712,F15,34,242,112,306
0067df5849d8cfb479303936b3798aa5,1000,712,KC135,721,164,886,290
006e132e1de4098544e937d56a4cf3d3,900,828,C2,277,346,574,449
0079ecb92d4a99dc405dae5bde86d8a9,1200,799,F15,260,163,1002,618
007eb1fc3d58c86131989784a81e6615,628,800,E2,78,96,223,201
007eb1fc3d58c86131989784a81e6615,628,800,E2,425,31,571,137
007eb1fc3d58c86131989784a81e6615,628,800,E2,254,201,393,301
007eb1fc3d58c86131989784a81e6615,628,800,E2,128,371,261,465
